stock,date,entry_price,entry_idx,rsi,macd,signal,volume_ratio,range_position,conditions_met,conditions,exit_pct,exit_reason,pnl,capital
ASIANPAINT,2025-11-27,2908.4,832,54.30406852248391,0.5249367068745414,0.6024043843464095,0.0,40.228013029316344,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",-0.2269288956127205,EOD,-45.3857791225441,20000
ASTRAL,2025-11-27,1471.0,838,50.0,-0.06058857284710939,0.050914377411620686,2.2222222222222223,44.11764705882382,3,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': True}",0.4350781781101353,EOD,87.01563562202708,20000
AUROPHARMA,2025-11-27,1242.1,569,51.26582278481006,0.48689338513895564,0.6167457867799403,1.1214953271028036,59.29203539822973,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",0.14491586828759215,EOD,28.983173657518428,20000
BAJAJFINSV,2025-11-27,2144.0,824,53.978300180831816,1.6560244249421885,0.4422904328987202,0.0,87.20930232558166,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.40111940298509163,EOD,80.22388059701832,20000
BAJFINANCE,2025-11-27,1052.7,850,50.0,0.6543796881871913,0.28357097057531805,0.0,78.05429864253387,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.6839555428897381,EOD,-136.79110857794763,20000
BANDHANBNK,2025-11-27,150.72,853,50.04336513443189,-0.05412697014992318,0.01305428026660863,1.7391304347826086,10.99476439790545,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.6539278131634823,EOD,530.7855626326965,20000
BHARTIARTL,2025-11-27,2146.1,850,49.870129870129844,1.7399933806532317,0.44528190524304373,0.0,53.33333333333283,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",0.17706537440008305,EOD,35.41307488001661,20000
BHEL,2025-11-27,293.65,853,50.46511627906974,-0.04075197556318244,0.09073853661336051,4.262295081967213,29.77528089887623,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.281627788183227,EOD,456.3255576366454,20000
BOSCHLTD,2025-11-27,36440.0,568,50.75187969924812,5.134363309000037,7.286896775067808,4.0,18.75,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.0581778265642154,EOD,411.63556531284314,20000
BRITANNIA,2025-11-27,5908.5,563,55.036496350364956,2.4324944495720047,0.9836669058929488,0.0,40.88669950738916,2,"{'rsi': np.False_, 'macd': True, 'volume': np.False_, 'range': True}",-0.2877210798002877,EOD,-57.54421596005754,20000
CANBK,2025-11-27,151.75,855,48.56870229007627,0.026809836028888867,0.06385634375764396,3.9285714285714284,35.344827586206705,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",3.4925864909390523,EOD,698.5172981878104,20000
CDSL,2025-11-27,1633.8,850,50.0,0.975587242915708,0.3916769964563851,0.0,44.05063291139206,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",1.5424164524421762,EOD,308.4832904884352,20000
CGPOWER,2025-11-27,684.2,855,45.805843543826654,-0.15745198381387127,0.17143710415702934,2.857142857142857,15.151515151515186,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.353113124817291,EOD,470.62262496345824,20000
CHOLAFIN,2025-11-27,1729.4,824,49.33993399339938,1.492478945971925,1.291278336715622,0.0,33.6043360433606,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.9945645888747436,EOD,198.91291777494874,20000
CIPLA,2025-11-27,1550.0,852,50.0,0.9482736874319926,0.18623265973998934,0.0,72.62773722627746,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.7741935483870968,EOD,-154.83870967741936,20000
COFORGE,2025-11-27,1922.0,813,60.63829787234041,2.1418402212220826,1.4161882577186575,1.8666666666666667,77.71428571428562,2,"{'rsi': np.False_, 'macd': True, 'volume': np.True_, 'range': False}",0.3017689906347649,EOD,60.35379812695299,20000
COLPAL,2025-11-27,2206.0,849,52.11864406779662,2.09056100194357,0.8233146890370808,0.0,62.57197696737038,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.5893019038984587,EOD,-117.86038077969175,20000
CONCOR,2025-11-27,518.0,853,50.483091787439726,-0.056623223344672624,0.04955110024745828,2.6666666666666665,15.609756097561197,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",0.9652509652509652,EOD,193.05019305019306,20000
CROMPTON,2025-11-27,269.15,855,46.531791907514354,-0.028720273754856862,0.07086478450820173,1.5384615384615385,20.168067226890603,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.9320081738807529,EOD,386.40163477615056,20000
DABUR,2025-11-27,520.85,752,50.78014184397173,-0.07295224383597088,0.05670416063435099,11.11111111111111,36.55172413793072,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",0.21119324181624444,EOD,42.238648363248885,20000
ABB,2025-11-28,5204.0,836,50.60790273556231,-2.215631831900282,-0.9300423775172908,6.4,8.73362445414847,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.1529592621060722,EOD,230.59185242121444,20000
ADANIENSOL,2025-11-28,1006.2,811,46.29552113855172,0.047539743028323755,-0.018943090554866447,0.0,71.63461538461561,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-1.262174517988476,EOD,-252.4349035976952,20000
ADANIPORTS,2025-11-28,1549.7,820,46.97164948453611,0.7077965212160962,0.5016666426444087,0.0,80.04246284501086,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.34845453958831324,EOD,-69.69090791766264,20000
ALKEM,2025-11-28,5775.5,591,50.0,0.3429333087824489,-0.17200587720616772,0.0,63.59223300970874,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.4674919920353216,EOD,-93.49839840706431,20000
AMBER,2025-11-28,6926.5,568,50.067430883344564,5.487233763307813,0.5187682919522304,5.0,65.0759219088937,3,"{'rsi': np.True_, 'macd': True, 'volume': np.True_, 'range': False}",0.8229264419259367,EOD,164.58528838518734,20000
AMBUJACEM,2025-11-28,560.0,578,50.0,0.5207765849768293,0.259289021155763,0.0,100.0,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-2.928571428571445,EOD,-585.714285714289,20000
ANGELONE,2025-11-28,2681.2,738,50.099206349206256,0.5168918383237724,0.9651821433506572,0.0,45.18987341772129,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",0.5072355661644176,EOD,101.44711323288351,20000
ASIANPAINT,2025-11-28,2905.9,855,53.50785340314133,0.26420016599240626,0.2257543028010695,0.0,69.69072164948491,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",1.17691592966034,EOD,235.383185932068,20000
AUROPHARMA,2025-11-28,1245.4,670,51.04477611940305,0.9474312561533225,1.2811686823696355,1.550387596899225,57.4561403508779,3,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': True}",-2.1519190621487216,EOD,-430.38381242974435,20000
AXISBANK,2025-11-28,1301.5,851,48.333333333333336,0.21160792095452052,-0.24582170519874702,0.0,77.57009345794398,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-2.028428736073768,EOD,-405.68574721475363,20000
BAJAJ-AUTO,2025-11-28,9170.0,851,50.0,5.160716207787118,1.1153850269193883,0.0,90.69212410501193,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",-0.64340239912759,EOD,-128.680479825518,20000
BAJAJFINSV,2025-11-28,2115.0,833,49.46770759403833,-0.5484705476487761,-0.6004958457279655,0.0,35.8974358974359,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",1.3238770685579195,EOD,264.7754137115839,20000
BAJFINANCE,2025-11-28,1039.1,855,45.708775313404,-0.9279057624103189,-0.17262681284545045,5.511811023622047,6.808510638297485,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",3.2335675103455266,EOD,646.7135020691053,20000
BANDHANBNK,2025-11-28,151.37,854,50.47770700636946,-0.0821646346289242,-0.020889108551857643,5.0,23.31460674157337,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",2.3782783906982665,EOD,475.6556781396533,20000
BANKBARODA,2025-11-28,292.35,854,49.595141700404874,-0.17644191147184074,-0.02116805676494063,0.967741935483871,43.827160493827485,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",2.2575679835812923,EOD,451.51359671625846,20000
BANKINDIA,2025-11-28,148.72,722,50.0,0.012535481677673488,0.01122820829298274,0.0,48.7951807228918,3,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': True}",-0.8337816030123784,EOD,-166.75632060247565,20000
BHARATFORG,2025-11-28,1446.0,800,51.5625,0.47257522239146965,0.3054316505029631,0.0,85.30465949820814,2,"{'rsi': np.True_, 'macd': True, 'volume': np.False_, 'range': False}",0.4149377593360996,EOD,82.98755186721992,20000
BIOCON,2025-11-28,401.45,778,49.60422163588389,-0.21808849024290566,-0.05923338722534941,1.8181818181818181,21.64179104477599,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",-0.47328434425208055,EOD,-94.6568688504161,20000
BLUESTARCO,2025-11-28,1775.4,563,47.57281553398084,0.10475891694522943,0.12963554499785632,0.0,43.307086614173464,2,"{'rsi': np.True_, 'macd': False, 'volume': np.False_, 'range': True}",0.923735496226182,EOD,184.7470992452364,20000
BPCL,2025-11-28,361.5,853,50.227272727272776,-0.08316800574175431,0.0007187975805200801,4.0,5.405405405405115,2,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': False}",1.0235131396957249,EOD,204.70262793914497,20000
BRITANNIA,2025-11-28,5885.0,570,46.865671641791046,1.53919257628786,1.8775927666619436,2.1052631578947367,58.57988165680473,3,"{'rsi': np.True_, 'macd': False, 'volume': np.True_, 'range': True}",0.8666100254885302,EOD,173.32200509770604,20000
